Stop ID,Stop Code,Traffic
448,COMMBOL2,26217.0
449,COMMDEV1,26217.0
450,COMMDEV2,26217.0
452,COMMDEV4,26217.0
453,COMMDEV6,26217.0
454,COMMFRO1,26217.0
455,COMMFRO2,26217.0
456,COMMGRD1,26217.0
457,COMMGRD2,26217.0
458,COMMHAM2,26217.0
461,COMMHUXL,26217.0
462,COMMKIE1,26217.0
463,COMMKIE2,26217.0
464,COMMLEA1,26217.0
465,COMMLEA2,26217.0
468,COMMLYN4,0.0
470,COMMNASH,26217.0
471,COMMNOR1,26217.0
472,COMMNOR2,26217.0
473,COMMNOT1,26217.0
474,COMMNOT3,26217.0
475,COMMPOM1,26217.0
477,COMMPOM3,26217.0
478,COMMPOM4,26217.0
479,COMMSPR1,26217.0
480,COMMSPR2,26217.0
481,COMMSPR4,26217.0
482,COMMSTEP,26217.0
483,COMMVISC,26217.0
487,CRANCOMM,4000.0
488,CRANHIMO,4000.0
490,CRUMPAGE,2725.0
492,CULVCLA1,17725.0
493,CULVCLA2,0.0
494,CULVCLA4,0.0
495,CULVCUL1,0.0
496,CULVCUL3,0.0
497,CULVCUL4,0.0
498,CULVCUL5,0.0
499,CULVTHR1,0.0
500,CULVTHR2,0.0
505,DEARBRAD,2833.0
506,DEARDUL1,2833.0
507,DEARDUL2,2833.0
508,DEARWILL,2833.0
509,DELAHAL2,0.0
510,DELAHALL,0.0
513,DEVECOM1,4333.0
519,DOONANGU,3500.0
520,DOONCAIT,3500.0
521,DOONMUS1,3500.0
522,DOONMUS2,3500.0
523,DOONRAV2,3500.0
524,DOONRAV4,3500.0
525,DOONSUNY,3500.0
526,DOONWIN1,3500.0
527,DOONWIN2,3500.0
528,DOWASH1,0.0
529,DOWASH2,0.0
531,DUFFCOLB,6000.0
532,DUFFPICT,6000.0
535,DUFFWEL2,6000.0
537,DUNDADE1,16069.0
538,DUNDADE2,16069.0
539,DUNDARVI,16069.0
540,DUNDASH1,16069.0
542,DUNDASH4,16069.0
543,DUNDBEA1,16069.0
544,DUNDBEA2,16069.0
546,DUNDBUR2,16069.0
547,DUNDCARL,16069.0
550,DUNDCLK1,16069.0
551,DUNDCLK4,16069.0
552,DUNDCOL1,16069.0
553,DUNDCOL2,16069.0
554,DUNDDORI,16069.0
556,DUNDEAS2,16069.0
557,DUNDEAS3,16069.0
560,DUNDEGE1,16069.0
561,DUNDEGE2,16069.0
562,DUNDELE1,16069.0
564,DUNDELIZ,16069.0
565,DUNDENGL,16069.0
566,DUNDFIR1,16069.0
567,DUNDFIR2,16069.0
569,DUNDFOR1,16069.0
570,DUNDFOR2,16069.0
572,DUNDHAL2,16069.0
573,DUNDHAL3,16069.0
574,DUNDHAL4,16069.0
575,DUNDHARC,3500.0
576,DUNDHEWI,16069.0
577,DUNDHIG1,16069.0
578,DUNDHIG2,16069.0
579,DUNDHIN1,3500.0
580,DUNDHIN2,3500.0
581,DUNDINDU,16069.0
583,DUNDKELL,16069.0
584,DUNDLYLE,16069.0
585,DUNDMAI1,16069.0
586,DUNDMAI2,16069.0
587,DUNDMANI,16069.0
592,DUNDONT1,16069.0
594,DUNDQUE1,16069.0
595,DUNDQUE2,16069.0
597,DUNDREC2,16069.0
600,DUNDRIDO,16069.0
602,DUNDSASK,16069.0
604,DUNDSDAL,3500.0
605,DUNDSPE1,16069.0
606,DUNDSPE2,16069.0
607,DUNDSPE4,16069.0
608,DUNDSTOC,3500.0
612,DUNDTHR,16069.0
614,DUNDWAT1,16069.0
615,DUNDWAT2,16069.0
617,DUNDWAV1,16069.0
620,DUNDWEL2,16069.0
623,DUNDWIL1,16069.0
624,DUNDWIL2,16069.0
626,EDENEAS1,0.0
627,EDENEAS2,0.0
628,EDENNIX,0.0
629,EDENVERU,0.0
630,EDWABASE,1000.0
634,EDWAELMW,1000.0
637,EDWAHIWY,1000.0
639,EDWALANG,1000.0
640,EDWATECU,1000.0
641,ELMWCATH,2500.0
642,ELMWMARL,2500.0
643,ELMWWORT,2500.0
644,EMERHIW1,1786.0
645,EMERHIW2,1786.0
646,EMERPADD,1786.0
647,EMERPHY1,1786.0
648,EMERPHY2,1786.0
649,EMERWIN1,1786.0
650,EMERWIN2,1786.0
651,ENTEHUBR,0.0
652,ENTEMID1,0.0
653,ENTEPOM1,0.0
654,ERNEBRA1,9300.0
655,ERNEBRA2,9300.0
656,ERNECON1,9300.0
657,ERNECON2,9300.0
658,ERNEELVI,9300.0
659,ERNEFEN1,9300.0
660,ERNEFEN2,9300.0
661,ERNEFINC,9300.0
662,ERNEJAL1,9300.0
663,ERNEJAL2,9300.0
665,ERNEMUR1,0.0
666,ERNEMUR3,9300.0
667,ERNEPAUL,9300.0
668,ERNESCO1,9300.0
669,ERNESCO2,9300.0
670,EXETMEG,19429.0
671,EXETSHOL,19429.0
672,EXETWEL1,19429.0
682,FANSADE1,9167.0
684,FANSADE4,9167.0
688,FANSFRE1,9167.0
692,FANSGLE1,9167.0
